id,tarih,firma,yetkili,gsm,sabit,email,adres,ilce,il,durum,temsilci,islem_asamasi,silindi,olusturan
1,2026-06-06 00:42:12,DENEME,,,,,,,,Aktif,,İlk Temas,1,
2,2026-06-06 00:42:12,osman acar,,,,,,Çukurova,Adana,Aktif,,İlk Temas,1,
3,2026-06-06 00:42:12,DENEME,,,,,,Aladağ,Adana,Aktif,,Kazanıldı,1,admin
4,2026-06-06 00:42:12,DENEME,,,,,,Aladağ,Adana,Aktif,,Kazanıldı,1,admin
5,2026-06-06 00:42:12,oncu kargo,osman mosman,5400344228,2164136410,osnenufu@gmail.com,kkks sjsjjs,Aladağ,Adana,Hedef,osman osuruk,İlk Temas,1,admin
6,2026-06-06 00:42:12,oncu kargo,osman mosman,5400344228,2164136410,osnenufu@gmail.com,kkks sjsjjs,Aladağ,Adana,Hedef,osman osuruk,İlk Temas,1,admin
7,2026-06-06 00:42:12,oncu kargo,osman mosman,5400344228,2164136410,osnenufu@gmail.com,kkks sjsjjs,Aladağ,Adana,Hedef,osman osuruk,İlk Temas,1,admin
8,2026-06-06 00:42:12,oncu kargo,osman mosman,5400344228,2164136410,osnenufu@gmail.com,kkks sjsjjs,Aladağ,Adana,Hedef,osman osuruk,İlk Temas,1,admin
9,2026-06-06 00:42:12,oncu kargo,osman mosman,5400344228,2164136410,osnenufu@gmail.com,kkks sjsjjs,Aladağ,Adana,Hedef,osman osuruk,İlk Temas,1,admin
10,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,,Aladağ,Adana,Aktif,,İlk Temas,1,admin
11,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,,Aladağ,Adana,Aktif,,İlk Temas,1,admin
12,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,,Aladağ,Adana,Aktif,,İlk Temas,1,admin
13,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,,Aladağ,Adana,Aktif,,İlk Temas,1,admin
14,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
15,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
16,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
17,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
18,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
19,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
20,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
21,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
22,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
23,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
24,2026-06-06 00:42:12,oncu kargo,osman mosman,,,,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
25,2026-06-06 00:42:12,oncu kargo,osman mosman,ss,,DENEME,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
26,2026-06-06 00:42:12,oncu kargo,osman mosman,ss,,DENEME,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
27,2026-06-06 00:42:12,oncu kargo,osman mosman,ss,,DENEME,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
28,2026-06-06 00:42:12,oncu kargo,osman mosman,ss,,DENEME,vgggg,Akyurt,Ankara,Aktif,,İlk Temas,1,admin
29,2026-06-06 00:42:12,wwwwww,,,,,,Aladağ,Adana,Aktif,,İlk Temas,1,admin
30,2026-06-06 00:42:12,dddddd,,,,,,Aladağ,Adana,Aktif,,İlk Temas,1,admin
31,2026-06-06 00:42:12,osman acar,osman mosman,ss,,DENEME,vgggg,Aladağ,Adana,Aktif,,İlk Temas,1,admin
32,2026-06-06 00:42:12,ssss,,,,,,Aladağ,Adana,Aktif,,İlk Temas,0,admin
33,2026-06-06 00:42:12,osman acarsss,osman mosman,ss,,DENEME,vgggg,Aladağ,Adana,Aktif,,İlk Temas,0,admin
34,2026-06-06 00:42:12,wwww,,,W,,,Aladağ,Adana,Aktif,,İlk Temas,0,admin
35,2026-06-06 00:42:12,sssss,,,,,,Aladağ,Adana,Aktif,,İlk Temas,0,admin
36,2026-06-06 00:42:12,s,,,,,,Aladağ,Adana,Aktif,,İlk Temas,0,admin
37,2026-06-06 00:42:12,SSSSSS,,,,,,Aladağ,Adana,Aktif,,İlk Temas,0,admin
38,2026-06-06 00:42:12,QQQ,,,,,,Aladağ,Adana,Aktif,,İlk Temas,0,admin
39,2026-06-06 00:42:29,AS,,,,,,Aladağ,Adana,Aktif,,İlk Temas,0,admin
